"id","tag","url","palavra","mot","audio"
43,alimentos,https://i.pinimg.com/originals/90/c8/7c/90c87cb3d02f23c2a33e5b8786788e95.jpg,sandwich,sanduiche,Le sandwich
44,alimentos,https://png.pngtree.com/element_our/20190602/ourlarge/pngtree-yellow-cheese-cartoon-illustration-image_1423401.jpg,fromage,queijo,""
45,alimentos,https://thumbs.dreamstime.com/b/cenoura-dos-desenhos-animados-110455651.jpg,carotte,cenoura,""
46,frutas,https://image.freepik.com/free-vector/grapes-cartoon-icon_90744-153.jpg,raisin,uva,le raisin
47,alimentos,https://i.pinimg.com/736x/ca/ff/ac/caffac214721104ab6a7a76ecda33aec.jpg,chocolat,chocolate,le chocolat
50,alimentos,https://www.jing.fm/clipimg/detail/4-43044_loaf-bread-png-clip-art-clip-art-loaf.png,baguette,pão,""
51,alimentos,https://image.freepik.com/free-vector/cute-smiling-happy-glass-water-drop-flat-cartoon-character-illustration-isolated-white-background-water-drop-character-concept_92289-1426.jpg,l'eau,água,""
52,animais,https://image.freepik.com/free-vector/cartoon-brown-horse-isolated-white_29190-5049.jpg,cheval,cavalo,""
53,animais,https://i.pinimg.com/736x/62/b7/fb/62b7fb57ec0e461b6daf6a928edc87ee.jpg,papillon ,borboleta,""
12,vestuário,https://cdn.pixabay.com/photo/2016/03/31/21/19/boy-1296343_960_720.png,vètement,roupa,""
48,alimentos,https://cdn.pixabay.com/photo/2012/04/02/12/49/egg-24404_960_720.png,oeuf,ovo,""
49,pessoas,https://cdn.pixabay.com/photo/2020/10/21/19/32/children-5674132_960_720.png,enfant,criança,""
37,alimentos,https://cdn.pixabay.com/photo/2018/02/21/23/23/steak-3171790_960_720.png,boeuf,carne,""
24,objetos,https://cdn.pixabay.com/photo/2017/01/31/00/09/book-2022464_960_720.png,livre,livro,""
9,cores,https://cdn.pixabay.com/photo/2013/07/13/10/48/paint-pot-157813_960_720.png,noir ,preto,noir
16,cores,https://cdn.pixabay.com/photo/2013/07/13/10/45/bucket-157731_960_720.png,vert,verde,""
22,cores,https://cdn.pixabay.com/photo/2013/07/13/10/48/paint-pot-157814_960_720.png,blanche,branco,""
17,cores,https://cdn.pixabay.com/photo/2013/07/13/10/45/bucket-157730_960_720.png,bleu,azul,""
34,objetos,https://cdn.pixabay.com/photo/2013/07/12/13/58/letter-147697_960_720.png,lettres,cartas,""
32,vestuário,https://cdn.pixabay.com/photo/2016/03/31/19/24/clothes-1294974_960_720.png,pantalon,calça,le pantalon
30,ações,https://cdn.pixabay.com/photo/2017/01/31/17/26/boy-2025737_960_720.png,-,caminhar,""
31,ações,https://cdn.pixabay.com/photo/2013/07/12/17/00/panda-151674_960_720.png,-,sentar,""
54,animais,https://image.freepik.com/free-vector/adorable-dolphin-cartoon_74769-37.jpg,dauphin,golfinho,""
55,animais,https://image.freepik.com/free-vector/cute-mouse-cartoon-presenting_160606-84.jpg,souris,rato,""
56,animais,https://image.freepik.com/free-vector/happy-elephant-cartoon_160606-95.jpg,éléphant,elefante,""
8,vestuário,https://cdn.pixabay.com/photo/2016/09/26/10/26/cute-cartoon-characters-1695612_960_720.png,robe,vestido,la robe
